------------Emission------------

------------P(Et | Xt)------------

P( a | a ) =  0.794791561522
P( b | a ) =  0.000100938730191
P( c | a ) =  0.000100938730191
P( d | a ) =  0.000100938730191
P( e | a ) =  0.000100938730191
P( f | a ) =  0.000100938730191
P( g | a ) =  0.000100938730191
P( h | a ) =  0.000100938730191
P( i | a ) =  0.000100938730191
P( j | a ) =  0.000100938730191
P( k | a ) =  0.000100938730191
P( l | a ) =  0.000100938730191
P( m | a ) =  0.000100938730191
P( n | a ) =  0.000100938730191
P( o | a ) =  0.000100938730191
P( p | a ) =  0.000100938730191
P( q | a ) =  0.068234581609
P( r | a ) =  0.000100938730191
P( s | a ) =  0.0688402139901
P( t | a ) =  0.000100938730191
P( u | a ) =  0.000100938730191
P( v | a ) =  0.000100938730191
P( w | a ) =  0.000100938730191
P( x | a ) =  0.000100938730191
P( y | a ) =  0.000100938730191
P( z | a ) =  0.0658120520844
P( _ | a ) =  0.000100938730191
P( a | b ) =  0.000506585612969
P( b | b ) =  0.798885511651
P( c | b ) =  0.000506585612969
P( d | b ) =  0.000506585612969
P( e | b ) =  0.000506585612969
P( f | b ) =  0.000506585612969
P( g | b ) =  0.0460992907801
P( h | b ) =  0.0435663627153
P( i | b ) =  0.000506585612969
P( j | b ) =  0.000506585612969
P( k | b ) =  0.000506585612969
P( l | b ) =  0.000506585612969
P( m | b ) =  0.000506585612969
P( n | b ) =  0.0531914893617
P( o | b ) =  0.000506585612969
P( p | b ) =  0.000506585612969
P( q | b ) =  0.000506585612969
P( r | b ) =  0.000506585612969
P( s | b ) =  0.000506585612969
P( t | b ) =  0.000506585612969
P( u | b ) =  0.000506585612969
P( v | b ) =  0.0471124620061
P( w | b ) =  0.000506585612969
P( x | b ) =  0.000506585612969
P( y | b ) =  0.000506585612969
P( z | b ) =  0.000506585612969
P( _ | b ) =  0.000506585612969
P( a | c ) =  0.000220361392684
P( b | c ) =  0.000220361392684
P( c | c ) =  0.793521375055
P( d | c ) =  0.0449537241075
P( e | c ) =  0.000220361392684
P( f | c ) =  0.0528867342442
P( g | c ) =  0.000220361392684
P( h | c ) =  0.000220361392684
P( i | c ) =  0.000220361392684
P( j | c ) =  0.000220361392684
P( k | c ) =  0.000220361392684
P( l | c ) =  0.000220361392684
P( m | c ) =  0.000220361392684
P( n | c ) =  0.000220361392684
P( o | c ) =  0.000220361392684
P( p | c ) =  0.000220361392684
P( q | c ) =  0.000220361392684
P( r | c ) =  0.000220361392684
P( s | c ) =  0.000220361392684
P( t | c ) =  0.000220361392684
P( u | c ) =  0.000220361392684
P( v | c ) =  0.0537681798149
P( w | c ) =  0.000220361392684
P( x | c ) =  0.0500220361393
P( y | c ) =  0.000220361392684
P( z | c ) =  0.000220361392684
P( _ | c ) =  0.000220361392684
P( a | d ) =  0.000232991612302
P( b | d ) =  0.000232991612302
P( c | d ) =  0.0410065237651
P( d | d ) =  0.801025163094
P( e | d ) =  0.0405405405405
P( f | d ) =  0.0337837837838
P( g | d ) =  0.000232991612302
P( h | d ) =  0.000232991612302
P( i | d ) =  0.000232991612302
P( j | d ) =  0.000232991612302
P( k | d ) =  0.000232991612302
P( l | d ) =  0.000232991612302
P( m | d ) =  0.000232991612302
P( n | d ) =  0.000232991612302
P( o | d ) =  0.000232991612302
P( p | d ) =  0.000232991612302
P( q | d ) =  0.000232991612302
P( r | d ) =  0.000232991612302
P( s | d ) =  0.0405405405405
P( t | d ) =  0.000232991612302
P( u | d ) =  0.000232991612302
P( v | d ) =  0.000232991612302
P( w | d ) =  0.000232991612302
P( x | d ) =  0.0382106244175
P( y | d ) =  0.000232991612302
P( z | d ) =  0.000232991612302
P( _ | d ) =  0.000232991612302
P( a | e ) =  5.9080704242e-05
P( b | e ) =  5.9080704242e-05
P( c | e ) =  5.9080704242e-05
P( d | e ) =  0.0663476308638
P( e | e ) =  0.800661703888
P( f | e ) =  5.9080704242e-05
P( g | e ) =  5.9080704242e-05
P( h | e ) =  5.9080704242e-05
P( i | e ) =  5.9080704242e-05
P( j | e ) =  5.9080704242e-05
P( k | e ) =  5.9080704242e-05
P( l | e ) =  5.9080704242e-05
P( m | e ) =  5.9080704242e-05
P( n | e ) =  5.9080704242e-05
P( o | e ) =  5.9080704242e-05
P( p | e ) =  5.9080704242e-05
P( q | e ) =  5.9080704242e-05
P( r | e ) =  0.0648115325535
P( s | e ) =  5.9080704242e-05
P( t | e ) =  5.9080704242e-05
P( u | e ) =  5.9080704242e-05
P( v | e ) =  5.9080704242e-05
P( w | e ) =  0.0668202764977
P( x | e ) =  5.9080704242e-05
P( y | e ) =  5.9080704242e-05
P( z | e ) =  5.9080704242e-05
P( _ | e ) =  5.9080704242e-05
P( a | f ) =  0.000319386777387
P( b | f ) =  0.000319386777387
P( c | f ) =  0.0335356116257
P( d | f ) =  0.0309805174066
P( e | f ) =  0.000319386777387
P( f | f ) =  0.802618971575
P( g | f ) =  0.0360907058448
P( h | f ) =  0.000319386777387
P( i | f ) =  0.000319386777387
P( j | f ) =  0.000319386777387
P( k | f ) =  0.000319386777387
P( l | f ) =  0.000319386777387
P( m | f ) =  0.000319386777387
P( n | f ) =  0.000319386777387
P( o | f ) =  0.000319386777387
P( p | f ) =  0.000319386777387
P( q | f ) =  0.000319386777387
P( r | f ) =  0.0290641967423
P( s | f ) =  0.000319386777387
P( t | f ) =  0.0325774512935
P( u | f ) =  0.000319386777387
P( v | f ) =  0.0287448099649
P( w | f ) =  0.000319386777387
P( x | f ) =  0.000319386777387
P( y | f ) =  0.000319386777387
P( z | f ) =  0.000319386777387
P( _ | f ) =  0.000319386777387
P( a | g ) =  0.000388198757764
P( b | g ) =  0.0419254658385
P( c | g ) =  0.000388198757764
P( d | g ) =  0.000388198757764
P( e | g ) =  0.000388198757764
P( f | g ) =  0.0415372670807
P( g | g ) =  0.800465838509
P( h | g ) =  0.0306677018634
P( i | g ) =  0.000388198757764
P( j | g ) =  0.000388198757764
P( k | g ) =  0.000388198757764
P( l | g ) =  0.000388198757764
P( m | g ) =  0.000388198757764
P( n | g ) =  0.000388198757764
P( o | g ) =  0.000388198757764
P( p | g ) =  0.000388198757764
P( q | g ) =  0.000388198757764
P( r | g ) =  0.000388198757764
P( s | g ) =  0.000388198757764
P( t | g ) =  0.041149068323
P( u | g ) =  0.000388198757764
P( v | g ) =  0.036102484472
P( w | g ) =  0.000388198757764
P( x | g ) =  0.000388198757764
P( y | g ) =  0.000388198757764
P( z | g ) =  0.000388198757764
P( _ | g ) =  0.000388198757764
P( a | h ) =  0.000158906721754
P( b | h ) =  0.0436993484824
P( c | h ) =  0.000158906721754
P( d | h ) =  0.000158906721754
P( e | h ) =  0.000158906721754
P( f | h ) =  0.000158906721754
P( g | h ) =  0.0398855871603
P( h | h ) =  0.791037660893
P( i | h ) =  0.000158906721754
P( j | h ) =  0.0389321468298
P( k | h ) =  0.000158906721754
P( l | h ) =  0.000158906721754
P( m | h ) =  0.000158906721754
P( n | h ) =  0.0451295089782
P( o | h ) =  0.000158906721754
P( p | h ) =  0.000158906721754
P( q | h ) =  0.000158906721754
P( r | h ) =  0.000158906721754
P( s | h ) =  0.000158906721754
P( t | h ) =  0.000158906721754
P( u | h ) =  0.000158906721754
P( v | h ) =  0.000158906721754
P( w | h ) =  0.000158906721754
P( x | h ) =  0.000158906721754
P( y | h ) =  0.0379787064993
P( z | h ) =  0.000158906721754
P( _ | h ) =  0.000158906721754
P( a | i ) =  9.78090766823e-05
P( b | i ) =  9.78090766823e-05
P( c | i ) =  9.78090766823e-05
P( d | i ) =  9.78090766823e-05
P( e | i ) =  9.78090766823e-05
P( f | i ) =  9.78090766823e-05
P( g | i ) =  9.78090766823e-05
P( h | i ) =  9.78090766823e-05
P( i | i ) =  0.799589201878
P( j | i ) =  0.048024256651
P( k | i ) =  0.0513497652582
P( l | i ) =  9.78090766823e-05
P( m | i ) =  9.78090766823e-05
P( n | i ) =  9.78090766823e-05
P( o | i ) =  0.0526212832551
P( p | i ) =  9.78090766823e-05
P( q | i ) =  9.78090766823e-05
P( r | i ) =  9.78090766823e-05
P( s | i ) =  9.78090766823e-05
P( t | i ) =  9.78090766823e-05
P( u | i ) =  0.0462636932707
P( v | i ) =  9.78090766823e-05
P( w | i ) =  9.78090766823e-05
P( x | i ) =  9.78090766823e-05
P( y | i ) =  9.78090766823e-05
P( z | i ) =  9.78090766823e-05
P( _ | i ) =  9.78090766823e-05
P( a | j ) =  0.00793650793651
P( b | j ) =  0.00793650793651
P( c | j ) =  0.00793650793651
P( d | j ) =  0.00793650793651
P( e | j ) =  0.00793650793651
P( f | j ) =  0.00793650793651
P( g | j ) =  0.00793650793651
P( h | j ) =  0.0238095238095
P( i | j ) =  0.00793650793651
P( j | j ) =  0.626984126984
P( k | j ) =  0.0396825396825
P( l | j ) =  0.00793650793651
P( m | j ) =  0.0238095238095
P( n | j ) =  0.031746031746
P( o | j ) =  0.00793650793651
P( p | j ) =  0.00793650793651
P( q | j ) =  0.00793650793651
P( r | j ) =  0.00793650793651
P( s | j ) =  0.00793650793651
P( t | j ) =  0.00793650793651
P( u | j ) =  0.0873015873016
P( v | j ) =  0.00793650793651
P( w | j ) =  0.00793650793651
P( x | j ) =  0.00793650793651
P( y | j ) =  0.00793650793651
P( z | j ) =  0.00793650793651
P( _ | j ) =  0.00793650793651
P( a | k ) =  0.00170648464164
P( b | k ) =  0.00170648464164
P( c | k ) =  0.00170648464164
P( d | k ) =  0.00170648464164
P( e | k ) =  0.00170648464164
P( f | k ) =  0.00170648464164
P( g | k ) =  0.00170648464164
P( h | k ) =  0.00170648464164
P( i | k ) =  0.037542662116
P( j | k ) =  0.0409556313993
P( k | k ) =  0.80204778157
P( l | k ) =  0.0341296928328
P( m | k ) =  0.0477815699659
P( n | k ) =  0.00170648464164
P( o | k ) =  0.00170648464164
P( p | k ) =  0.00170648464164
P( q | k ) =  0.00170648464164
P( r | k ) =  0.00170648464164
P( s | k ) =  0.00170648464164
P( t | k ) =  0.00170648464164
P( u | k ) =  0.00170648464164
P( v | k ) =  0.00170648464164
P( w | k ) =  0.00170648464164
P( x | k ) =  0.00170648464164
P( y | k ) =  0.00170648464164
P( z | k ) =  0.00170648464164
P( _ | k ) =  0.00170648464164
P( a | l ) =  0.00016691704223
P( b | l ) =  0.00016691704223
P( c | l ) =  0.00016691704223
P( d | l ) =  0.00016691704223
P( e | l ) =  0.00016691704223
P( f | l ) =  0.00016691704223
P( g | l ) =  0.00016691704223
P( h | l ) =  0.00016691704223
P( i | l ) =  0.00016691704223
P( j | l ) =  0.00016691704223
P( k | l ) =  0.0659322316809
P( l | l ) =  0.801535636789
P( m | l ) =  0.00016691704223
P( n | l ) =  0.00016691704223
P( o | l ) =  0.0657653146386
P( p | l ) =  0.0629277249207
P( q | l ) =  0.00016691704223
P( r | l ) =  0.00016691704223
P( s | l ) =  0.00016691704223
P( t | l ) =  0.00016691704223
P( u | l ) =  0.00016691704223
P( v | l ) =  0.00016691704223
P( w | l ) =  0.00016691704223
P( x | l ) =  0.00016691704223
P( y | l ) =  0.00016691704223
P( z | l ) =  0.00016691704223
P( _ | l ) =  0.00016691704223
P( a | m ) =  0.000280112044818
P( b | m ) =  0.000280112044818
P( c | m ) =  0.000280112044818
P( d | m ) =  0.000280112044818
P( e | m ) =  0.000280112044818
P( f | m ) =  0.000280112044818
P( g | m ) =  0.000280112044818
P( h | m ) =  0.000280112044818
P( i | m ) =  0.000280112044818
